Path specified: /test/u0/
Net 		Stat_Prob	TC	TotSimPeriod
n7698 	 0.476 		 3 	 5000  
n7699 	 0.454 		 1 	 5000  
n7700 	 0.478 		 220 	 5000  
n7701 	 0.48 		 0 	 5000  
n7702 	 0.496 		 126 	 5000  
n7703 	 0.45 		 208 	 5000  
n7704 	 0.469 		 0 	 5000  
n7705 	 0.476 		 128 	 5000  
n7706 	 0.5 		 230 	 5000  
n7707 	 0.469 		 1 	 5000  
n7708 	 0.482 		 122 	 5000  
n7709 	 0.43 		 291 	 5000  
n7710 	 0.473 		 0 	 5000  
n7711 	 0.494 		 85 	 5000  
n7712 	 0.491 		 224 	 5000  
n7713 	 0.518 		 247 	 5000  
n7714 	 0.488 		 0 	 5000  
n7715 	 0.47 		 209 	 5000  
n7716 	 0.497 		 235 	 5000  
n7717 	 0.463 		 1 	 5000  
n7718 	 0.491 		 228 	 5000  
n7719 	 0.482 		 0 	 5000  
n7720 	 0.498 		 101 	 5000  
n7721 	 0.012 		 10 	 5000  
n7722 	 0.008 		 8 	 5000  
n7723 	 0.935 		 12 	 5000  
n7724 	 0.526 		 74 	 5000  
n7725 	 0.883 		 50 	 5000  
n7726 	 0.863 		 74 	 5000  
n7727 	 0.062 		 44 	 5000  
n7728 	 0.211 		 89 	 5000  
n7729 	 0.076 		 72 	 5000  
n7730 	 0.883 		 62 	 5000  
n7731 	 0.877 		 68 	 5000  
n7732 	 0.873 		 70 	 5000  
n7733 	 0.008 		 8 	 5000  
n7734 	 0.897 		 46 	 5000  
n7735 	 0.885 		 58 	 5000  
n7736 	 0.941 		 6 	 5000  
n7737 	 0.897 		 48 	 5000  
n7738 	 0.895 		 48 	 5000  
n7739 	 0.902 		 45 	 5000  
n7740 	 0.945 		 2 	 5000  
n7741 	 0.827 		 96 	 5000  
n7742 	 0.885 		 58 	 5000  
n7743 	 0.875 		 66 	 5000  
n7744 	 0.945 		 2 	 5000  
n7745 	 0.445 		 215 	 5000  
n7746 	 0.454 		 0 	 5000  
n7747 	 0.464 		 0 	 5000  
n7748 	 0.028 		 28 	 5000  
n7749 	 0.018 		 16 	 5000  
n7750 	 0.62 		 81 	 5000  
n7751 	 0.879 		 46 	 5000  
n7752 	 0.004 		 4 	 5000  
n7753 	 0.028 		 26 	 5000  
n7754 	 0.036 		 32 	 5000  
n7755 	 0.885 		 60 	 5000  
n7756 	 0.901 		 44 	 5000  
n7757 	 0.887 		 54 	 5000  
n7758 	 0.901 		 42 	 5000  
n7759 	 0.901 		 39 	 5000  
n7760 	 0.205 		 101 	 5000  
n7761 	 0.076 		 70 	 5000  
n7762 	 0.807 		 96 	 5000  
n7763 	 0.865 		 68 	 5000  
n7764 	 0.899 		 46 	 5000  
n7765 	 0.883 		 62 	 5000  
n7766 	 0.939 		 8 	 5000  
n7767 	 0.002 		 2 	 5000  
n7768 	 0.921 		 26 	 5000  
n7769 	 0.524 		 183 	 5000  
n7770 	 0.024 		 24 	 5000  
n7771 	 0.01 		 10 	 5000  
n7772 	 0.869 		 74 	 5000  
n7773 	 0.875 		 68 	 5000  
n7774 	 0.909 		 38 	 5000  
n7775 	 0.943 		 4 	 5000  
n7776 	 0.837 		 98 	 5000  
n7777 	 0.889 		 56 	 5000  
n7778 	 0.887 		 58 	 5000  
n7779 	 0.939 		 8 	 5000  
n7780 	 0.89 		 51 	 5000  
n7781 	 0.887 		 54 	 5000  
n7782 	 0.064 		 58 	 5000  
n7783 	 0.242 		 148 	 5000  
n7784 	 0.056 		 54 	 5000  
n7785 	 0.879 		 60 	 5000  
n7786 	 0.893 		 52 	 5000  
n7787 	 0.895 		 50 	 5000  
n7788 	 0.02 		 20 	 5000  
n7789 	 0.877 		 66 	 5000  
n7790 	 0.897 		 43 	 5000  
n7791 	 0.939 		 8 	 5000  
n7792 	 0.484 		 262 	 5000  
n7793 	 0.472 		 0 	 5000  
n7794 	 0.488 		 110 	 5000  
n7795 	 0.026 		 24 	 5000  
n7796 	 0.032 		 30 	 5000  
n7797 	 0.773 		 134 	 5000  
n7798 	 0.747 		 152 	 5000  
n7799 	 0.004 		 4 	 5000  
n7800 	 0.188 		 146 	 5000  
n7801 	 0.008 		 8 	 5000  
n7802 	 0.903 		 42 	 5000  
n7803 	 0.893 		 52 	 5000  
n7804 	 0.899 		 46 	 5000  
n7805 	 0.883 		 62 	 5000  
n7806 	 0.927 		 20 	 5000  
n7807 	 0.885 		 56 	 5000  
n7808 	 0.024 		 24 	 5000  
n7809 	 0.068 		 58 	 5000  
n7810 	 0.889 		 56 	 5000  
n7811 	 0.875 		 68 	 5000  
n7812 	 0.889 		 56 	 5000  
n7813 	 0.931 		 16 	 5000  
n7814 	 0.14 		 116 	 5000  
n7815 	 0.004 		 4 	 5000  
n7816 	 0.897 		 48 	 5000  
n7817 	 0.897 		 48 	 5000  
n7818 	 0.122 		 110 	 5000  
n7819 	 0.006 		 6 	 5000  
n7820 	 0.002 		 2 	 5000  
n7821 	 0.945 		 2 	 5000  
n7822 	 0.931 		 16 	 5000  
n7823 	 0.124 		 110 	 5000  
n7824 	 0.004 		 4 	 5000  
n7825 	 0.887 		 60 	 5000  
n7826 	 0.887 		 58 	 5000  
n7827 	 0.887 		 58 	 5000  
n7828 	 0.028 		 26 	 5000  
n7829 	 0.01 		 10 	 5000  
n7830 	 0.653 		 183 	 5000  
n7831 	 0.852 		 81 	 5000  
n7832 	 0.004 		 4 	 5000  
n7833 	 0.057 		 55 	 5000  
n7834 	 0.034 		 32 	 5000  
n7835 	 0.897 		 48 	 5000  
n7836 	 0.897 		 44 	 5000  
n7837 	 0.883 		 58 	 5000  
n7838 	 0.887 		 60 	 5000  
n7839 	 0.909 		 38 	 5000  
n7840 	 0.212 		 159 	 5000  
n7841 	 0.044 		 38 	 5000  
n7842 	 0.829 		 104 	 5000  
n7843 	 0.871 		 66 	 5000  
n7844 	 0.901 		 44 	 5000  
n7845 	 0.893 		 50 	 5000  
n7846 	 0.931 		 14 	 5000  
n7847 	 0.006 		 6 	 5000  
n7848 	 0.022 		 20 	 5000  
n7849 	 0.014 		 12 	 5000  
n7850 	 0.579 		 197 	 5000  
n7851 	 0.835 		 98 	 5000  
n7852 	 0.937 		 10 	 5000  
n7853 	 0.911 		 31 	 5000  
n7854 	 0.018 		 18 	 5000  
n7855 	 0.048 		 48 	 5000  
n7856 	 0.895 		 48 	 5000  
n7857 	 0.254 		 169 	 5000  
n7858 	 0.062 		 54 	 5000  
n7859 	 0.897 		 44 	 5000  
n7860 	 0.882 		 59 	 5000  
n7861 	 0.905 		 42 	 5000  
n7862 	 0.879 		 62 	 5000  
n7863 	 0.875 		 70 	 5000  
n7864 	 0.893 		 50 	 5000  
n7865 	 0.895 		 46 	 5000  
n7866 	 0.889 		 54 	 5000  
n7867 	 0.877 		 66 	 5000  
n7868 	 0.899 		 44 	 5000  
n7869 	 0.931 		 16 	 5000  
n7870 	 0.006 		 6 	 5000  
n7871 	 0.891 		 54 	 5000  
n7872 	 0.899 		 46 	 5000  
n7873 	 0.883 		 62 	 5000  
n7874 	 0.447 		 241 	 5000  
n7875 	 0.467 		 0 	 5000  
n7876 	 0.469 		 2 	 5000  
n7877 	 0.024 		 24 	 5000  
n7878 	 0.018 		 16 	 5000  
n7879 	 0.733 		 158 	 5000  
n7880 	 0.723 		 165 	 5000  
n7881 	 0.122 		 110 	 5000  
n7882 	 0.212 		 159 	 5000  
n7883 	 0.012 		 12 	 5000  
n7884 	 0.012 		 12 	 5000  
n7885 	 0.777 		 145 	 5000  
n7886 	 0.929 		 18 	 5000  
n7887 	 0.939 		 8 	 5000  
n7888 	 0.939 		 8 	 5000  
n7889 	 0.002 		 2 	 5000  
n7890 	 0.0 		 0 	 5000  
n7891 	 0.136 		 114 	 5000  
n7892 	 0.891 		 52 	 5000  
n7893 	 0.897 		 48 	 5000  
n7894 	 0.883 		 59 	 5000  
n7895 	 0.002 		 2 	 5000  
n7896 	 0.002 		 2 	 5000  
n7897 	 0.945 		 2 	 5000  
n7898 	 0.941 		 6 	 5000  
n7899 	 0.879 		 58 	 5000  
n7900 	 0.076 		 68 	 5000  
n7901 	 0.07 		 66 	 5000  
n7902 	 0.102 		 89 	 5000  
n7903 	 0.115 		 107 	 5000  
n7904 	 0.136 		 118 	 5000  
n7905 	 0.01 		 10 	 5000  
n7906 	 0.006 		 6 	 5000  
n7907 	 0.941 		 6 	 5000  
n7908 	 0.945 		 2 	 5000  
n7909 	 0.883 		 58 	 5000  
n7910 	 0.759 		 106 	 5000  
n7911 	 0.728 		 99 	 5000  
n7912 	 0.024 		 20 	 5000  
n7913 	 0.026 		 24 	 5000  
n7914 	 0.114 		 98 	 5000  
n7915 	 0.12 		 92 	 5000  
n7916 	 0.154 		 122 	 5000  
n7917 	 0.012 		 10 	 5000  
n7918 	 0.004 		 4 	 5000  
n7919 	 0.939 		 8 	 5000  
n7920 	 0.947 		 0 	 5000  
n7921 	 0.897 		 46 	 5000  
n7922 	 0.114 		 96 	 5000  
n7923 	 0.207 		 103 	 5000  
n7924 	 0.004 		 4 	 5000  
n7925 	 0.01 		 10 	 5000  
n7926 	 0.778 		 119 	 5000  
n7927 	 0.925 		 20 	 5000  
n7928 	 0.935 		 10 	 5000  
n7929 	 0.943 		 4 	 5000  
n7930 	 0.004 		 4 	 5000  
n7931 	 0.002 		 2 	 5000  
n7932 	 0.116 		 100 	 5000  
n7933 	 0.885 		 52 	 5000  
n7934 	 0.898 		 45 	 5000  
n7935 	 0.889 		 52 	 5000  
n7936 	 0.0 		 0 	 5000  
n7937 	 0.006 		 6 	 5000  
n7938 	 0.945 		 2 	 5000  
n7939 	 0.945 		 2 	 5000  
n7940 	 0.873 		 64 	 5000  
n7941 	 0.056 		 48 	 5000  
n7942 	 0.058 		 54 	 5000  
n7943 	 0.006 		 6 	 5000  
n7944 	 0.014 		 14 	 5000  
n7945 	 0.925 		 20 	 5000  
n7946 	 0.503 		 209 	 5000  
n7947 	 0.935 		 12 	 5000  
n7948 	 0.769 		 137 	 5000  
n7949 	 0.248 		 160 	 5000  
n7950 	 0.941 		 6 	 5000  
n7951 	 0.871 		 66 	 5000  
n7952 	 0.052 		 47 	 5000  
n7953 	 0.05 		 50 	 5000  
n7954 	 0.01 		 10 	 5000  
n7955 	 0.114 		 98 	 5000  
n7956 	 0.008 		 8 	 5000  
n7957 	 0.132 		 118 	 5000  
n7958 	 0.104 		 94 	 5000  
n7959 	 0.122 		 100 	 5000  
n7960 	 0.887 		 58 	 5000  
n7961 	 0.893 		 54 	 5000  
n7962 	 0.945 		 2 	 5000  
n7963 	 0.508 		 234 	 5000  
n7964 	 0.446 		 0 	 5000  
n7965 	 0.5 		 0 	 5000  
n7966 	 0.875 		 60 	 5000  
n7967 	 0.913 		 32 	 5000  
n7968 	 0.373 		 201 	 5000  
n7969 	 0.012 		 12 	 5000  
n7970 	 0.014 		 14 	 5000  
n7971 	 0.69 		 177 	 5000  
n7972 	 0.923 		 24 	 5000  
n7973 	 0.937 		 10 	 5000  
n7974 	 0.014 		 14 	 5000  
n7975 	 0.02 		 18 	 5000  
n7976 	 0.006 		 6 	 5000  
n7977 	 0.004 		 4 	 5000  
n7978 	 0.947 		 0 	 5000  
n7979 	 0.937 		 10 	 5000  
n7980 	 0.887 		 58 	 5000  
n7981 	 0.883 		 58 	 5000  
n7982 	 0.887 		 52 	 5000  
n7983 	 0.002 		 2 	 5000  
n7984 	 0.004 		 4 	 5000  
n7985 	 0.004 		 4 	 5000  
n7986 	 0.012 		 12 	 5000  
n7987 	 0.883 		 64 	 5000  
n7988 	 0.89 		 55 	 5000  
n7989 	 0.004 		 4 	 5000  
n7990 	 0.02 		 20 	 5000  
n7991 	 0.941 		 6 	 5000  
n7992 	 0.943 		 4 	 5000  
n7993 	 0.0 		 0 	 5000  
n7994 	 0.0 		 0 	 5000  
n7995 	 0.006 		 6 	 5000  
n7996 	 0.931 		 16 	 5000  
n7997 	 0.125 		 109 	 5000  
n7998 	 0.004 		 4 	 5000  
n7999 	 0.895 		 52 	 5000  
n8000 	 0.114 		 93 	 5000  
n8001 	 0.012 		 12 	 5000  
n8002 	 0.937 		 10 	 5000  
n8003 	 0.887 		 56 	 5000  
n8004 	 0.945 		 2 	 5000  
n8005 	 0.875 		 68 	 5000  
n8006 	 0.06 		 54 	 5000  
n8007 	 0.923 		 24 	 5000  
n8008 	 0.933 		 14 	 5000  
n8009 	 0.008 		 8 	 5000  
n8010 	 0.01 		 10 	 5000  
n8011 	 0.002 		 2 	 5000  
n8012 	 0.002 		 2 	 5000  
n8013 	 0.943 		 4 	 5000  
n8014 	 0.947 		 0 	 5000  
n8015 	 0.941 		 6 	 5000  
n8016 	 0.004 		 4 	 5000  
n8017 	 0.004 		 4 	 5000  
n8018 	 0.004 		 4 	 5000  
n8019 	 0.002 		 2 	 5000  
n8020 	 0.01 		 10 	 5000  
n8021 	 0.008 		 8 	 5000  
n8022 	 0.004 		 4 	 5000  
n8023 	 0.019 		 19 	 5000  
n8024 	 0.024 		 20 	 5000  
n8025 	 0.621 		 192 	 5000  
n8026 	 0.857 		 74 	 5000  
n8027 	 0.048 		 38 	 5000  
n8028 	 0.024 		 22 	 5000  
n8029 	 0.883 		 62 	 5000  
n8030 	 0.887 		 54 	 5000  
n8031 	 0.897 		 48 	 5000  
n8032 	 0.937 		 10 	 5000  
n8033 	 0.008 		 8 	 5000  
n8034 	 0.002 		 2 	 5000  
n8035 	 0.897 		 50 	 5000  
n8036 	 0.899 		 38 	 5000  
n8037 	 0.883 		 60 	 5000  
n8038 	 0.937 		 10 	 5000  
n8039 	 0.244 		 164 	 5000  
n8040 	 0.008 		 8 	 5000  
n8041 	 0.785 		 136 	 5000  
n8042 	 0.893 		 53 	 5000  
n8043 	 0.94 		 7 	 5000  
n8044 	 0.102 		 90 	 5000  
n8045 	 0.001 		 1 	 5000  
n8046 	 0.869 		 58 	 5000  
n8047 	 0.905 		 40 	 5000  
n8048 	 0.339 		 60 	 5000  
n8049 	 0.018 		 16 	 5000  
n8050 	 0.012 		 12 	 5000  
n8051 	 0.73 		 68 	 5000  
n8052 	 0.917 		 28 	 5000  
n8053 	 0.931 		 16 	 5000  
n8054 	 0.008 		 8 	 5000  
n8055 	 0.02 		 18 	 5000  
n8056 	 0.006 		 6 	 5000  
n8057 	 0.008 		 8 	 5000  
n8058 	 0.945 		 2 	 5000  
n8059 	 0.943 		 4 	 5000  
n8060 	 0.895 		 44 	 5000  
n8061 	 0.885 		 61 	 5000  
n8062 	 0.883 		 58 	 5000  
n8063 	 0.002 		 2 	 5000  
n8064 	 0.006 		 6 	 5000  
n8065 	 0.008 		 8 	 5000  
n8066 	 0.016 		 14 	 5000  
n8067 	 0.885 		 56 	 5000  
n8068 	 0.889 		 58 	 5000  
n8069 	 0.0 		 0 	 5000  
n8070 	 0.026 		 26 	 5000  
n8071 	 0.939 		 8 	 5000  
n8072 	 0.945 		 2 	 5000  
n8073 	 0.004 		 4 	 5000  
n8074 	 0.002 		 2 	 5000  
n8075 	 0.002 		 2 	 5000  
n8076 	 0.927 		 20 	 5000  
n8077 	 0.108 		 94 	 5000  
n8078 	 0.0 		 0 	 5000  
n8079 	 0.895 		 46 	 5000  
n8080 	 0.124 		 111 	 5000  
n8081 	 0.024 		 24 	 5000  
n8082 	 0.931 		 16 	 5000  
n8083 	 0.889 		 58 	 5000  
n8084 	 0.941 		 6 	 5000  
n8085 	 0.881 		 58 	 5000  
n8086 	 0.068 		 56 	 5000  
n8087 	 0.933 		 14 	 5000  
n8088 	 0.931 		 16 	 5000  
n8089 	 0.02 		 20 	 5000  
n8090 	 0.012 		 12 	 5000  
n8091 	 0.004 		 4 	 5000  
n8092 	 0.006 		 6 	 5000  
n8093 	 0.947 		 0 	 5000  
n8094 	 0.937 		 10 	 5000  
n8095 	 0.939 		 8 	 5000  
n8096 	 0.004 		 4 	 5000  
n8097 	 0.004 		 4 	 5000  
n8098 	 0.004 		 4 	 5000  
n8099 	 0.0 		 0 	 5000  
n8100 	 0.006 		 6 	 5000  
n8101 	 0.002 		 2 	 5000  
n8102 	 0.006 		 6 	 5000  
n8103 	 0.016 		 16 	 5000  
n8104 	 0.018 		 18 	 5000  
n8105 	 0.489 		 183 	 5000  
n8106 	 0.915 		 30 	 5000  
n8107 	 0.106 		 96 	 5000  
n8108 	 0.018 		 18 	 5000  
n8109 	 0.901 		 42 	 5000  
n8110 	 0.881 		 62 	 5000  
n8111 	 0.937 		 10 	 5000  
n8112 	 0.899 		 46 	 5000  
n8113 	 0.064 		 58 	 5000  
n8114 	 0.27 		 151 	 5000  
n8115 	 0.935 		 12 	 5000  
n8116 	 0.929 		 18 	 5000  
n8117 	 0.026 		 26 	 5000  
n8118 	 0.02 		 18 	 5000  
n8119 	 0.875 		 67 	 5000  
n8120 	 0.869 		 72 	 5000  
n8121 	 0.937 		 10 	 5000  
n8122 	 0.875 		 66 	 5000  
n8123 	 0.937 		 10 	 5000  
n8124 	 0.004 		 4 	 5000  
n8125 	 0.939 		 8 	 5000  
n8126 	 0.006 		 6 	 5000  
n8127 	 0.004 		 4 	 5000  
n8128 	 0.002 		 2 	 5000  
n8129 	 0.002 		 2 	 5000  
n8130 	 0.008 		 8 	 5000  
n8131 	 0.006 		 6 	 5000  
n8132 	 0.006 		 6 	 5000  
n8133 	 0.947 		 0 	 5000  
n8134 	 0.941 		 6 	 5000  
n8135 	 0.479 		 255 	 5000  
n8136 	 0.48 		 0 	 5000  
n8137 	 0.511 		 0 	 5000  
n8138 	 0.02 		 20 	 5000  
n8139 	 0.03 		 28 	 5000  
n8140 	 0.599 		 192 	 5000  
n8141 	 0.879 		 54 	 5000  
n8142 	 0.064 		 54 	 5000  
n8143 	 0.889 		 50 	 5000  
n8144 	 0.252 		 180 	 5000  
n8145 	 0.032 		 32 	 5000  
n8146 	 0.028 		 24 	 5000  
n8147 	 0.008 		 8 	 5000  
n8148 	 0.931 		 16 	 5000  
n8149 	 0.935 		 12 	 5000  
n8150 	 0.945 		 2 	 5000  
n8151 	 0.941 		 6 	 5000  
n8152 	 0.004 		 4 	 5000  
n8153 	 0.941 		 6 	 5000  
n8154 	 0.899 		 46 	 5000  
n8155 	 0.897 		 50 	 5000  
n8156 	 0.882 		 57 	 5000  
n8157 	 0.012 		 10 	 5000  
n8158 	 0.941 		 6 	 5000  
n8159 	 0.945 		 2 	 5000  
n8160 	 0.889 		 52 	 5000  
n8161 	 0.885 		 59 	 5000  
n8162 	 0.835 		 96 	 5000  
n8163 	 0.929 		 18 	 5000  
n8164 	 0.118 		 104 	 5000  
n8165 	 0.01 		 10 	 5000  
n8166 	 0.0 		 0 	 5000  
n8167 	 0.004 		 4 	 5000  
n8168 	 0.939 		 8 	 5000  
n8169 	 0.939 		 8 	 5000  
n8170 	 0.117 		 109 	 5000  
n8171 	 0.129 		 115 	 5000  
n8172 	 0.032 		 32 	 5000  
n8173 	 0.016 		 16 	 5000  
n8174 	 0.594 		 168 	 5000  
n8175 	 0.863 		 66 	 5000  
n8176 	 0.903 		 38 	 5000  
n8177 	 0.008 		 8 	 5000  
n8178 	 0.032 		 30 	 5000  
n8179 	 0.872 		 69 	 5000  
n8180 	 0.935 		 12 	 5000  
n8181 	 0.032 		 32 	 5000  
n8182 	 0.245 		 131 	 5000  
n8183 	 0.929 		 18 	 5000  
n8184 	 0.943 		 4 	 5000  
n8185 	 0.022 		 22 	 5000  
n8186 	 0.02 		 18 	 5000  
n8187 	 0.939 		 8 	 5000  
n8188 	 0.943 		 4 	 5000  
n8189 	 0.937 		 10 	 5000  
n8190 	 0.1 		 84 	 5000  
n8191 	 0.006 		 6 	 5000  
n8192 	 0.879 		 60 	 5000  
n8193 	 0.885 		 58 	 5000  
n8194 	 0.116 		 106 	 5000  
n8195 	 0.002 		 2 	 5000  
n8196 	 0.002 		 2 	 5000  
n8197 	 0.935 		 12 	 5000  
n8198 	 0.931 		 16 	 5000  
n8199 	 0.006 		 6 	 5000  
n8200 	 0.899 		 48 	 5000  
n8201 	 0.575 		 187 	 5000  
n8202 	 0.847 		 84 	 5000  
n8203 	 0.018 		 18 	 5000  
n8204 	 0.014 		 14 	 5000  
n8205 	 0.833 		 96 	 5000  
n8206 	 0.006 		 6 	 5000  
n8207 	 0.0 		 0 	 5000  
n8208 	 0.935 		 12 	 5000  
n8209 	 0.947 		 0 	 5000  
n8210 	 0.883 		 60 	 5000  
n8211 	 0.885 		 60 	 5000  
n8212 	 0.881 		 58 	 5000  
n8213 	 0.004 		 4 	 5000  
n8214 	 0.056 		 54 	 5000  
n8215 	 0.04 		 38 	 5000  
n8216 	 0.901 		 46 	 5000  
n8217 	 0.895 		 48 	 5000  
n8218 	 0.002 		 2 	 5000  
n8219 	 0.036 		 36 	 5000  
n8220 	 0.939 		 8 	 5000  
n8221 	 0.943 		 4 	 5000  
n8222 	 0.0 		 0 	 5000  
n8223 	 0.004 		 4 	 5000  
n8224 	 0.004 		 4 	 5000  
n8225 	 0.895 		 46 	 5000  
n8226 	 0.885 		 60 	 5000  
n8227 	 0.887 		 56 	 5000  
n8228 	 0.901 		 44 	 5000  
n8229 	 0.911 		 36 	 5000  
n8230 	 0.118 		 112 	 5000  
n8231 	 0.012 		 12 	 5000  
n8232 	 0.024 		 23 	 5000  
n8233 	 0.777 		 123 	 5000  
n8234 	 0.883 		 58 	 5000  
n8235 	 0.054 		 52 	 5000  
n8236 	 0.879 		 66 	 5000  
n8237 	 0.05 		 48 	 5000  
n8238 	 0.01 		 10 	 5000  
n8239 	 0.006 		 6 	 5000  
n8240 	 0.923 		 23 	 5000  
n8241 	 0.935 		 12 	 5000  
n8242 	 0.004 		 4 	 5000  
n8243 	 0.002 		 2 	 5000  
n8244 	 0.006 		 6 	 5000  
n8245 	 0.006 		 5 	 5000  
n8246 	 0.012 		 12 	 5000  
n8247 	 0.943 		 4 	 5000  
n8248 	 0.945 		 2 	 5000  
n8249 	 0.947 		 0 	 5000  
n8250 	 0.874 		 70 	 5000  
n8251 	 0.841 		 100 	 5000  
n8252 	 0.937 		 10 	 5000  
n8253 	 0.885 		 60 	 5000  
n8254 	 0.008 		 8 	 5000  
n8255 	 0.0 		 0 	 5000  
n8256 	 0.945 		 2 	 5000  
n8257 	 0.945 		 2 	 5000  
n8258 	 0.611 		 126 	 5000  
n8259 	 0.892 		 47 	 5000  
n8260 	 0.03 		 28 	 5000  
n8261 	 0.034 		 28 	 5000  
n8262 	 0.823 		 82 	 5000  
n8263 	 0.927 		 20 	 5000  
n8264 	 0.126 		 108 	 5000  
n8265 	 0.004 		 4 	 5000  
n8266 	 0.891 		 52 	 5000  
n8267 	 0.002 		 2 	 5000  
n8268 	 0.002 		 2 	 5000  
n8269 	 0.935 		 12 	 5000  
n8270 	 0.933 		 14 	 5000  
n8271 	 0.116 		 108 	 5000  
n8272 	 0.11 		 88 	 5000  
n8273 	 0.043 		 37 	 5000  
n8274 	 0.904 		 37 	 5000  
n8275 	 0.232 		 124 	 5000  
n8276 	 0.042 		 40 	 5000  
n8277 	 0.018 		 18 	 5000  
n8278 	 0.014 		 14 	 5000  
n8279 	 0.927 		 20 	 5000  
n8280 	 0.937 		 10 	 5000  
n8281 	 0.939 		 8 	 5000  
n8282 	 0.947 		 0 	 5000  
n8283 	 0.0 		 0 	 5000  
n8284 	 0.939 		 8 	 5000  
n8285 	 0.871 		 72 	 5000  
n8286 	 0.888 		 48 	 5000  
n8287 	 0.006 		 6 	 5000  
n8288 	 0.937 		 10 	 5000  
n8289 	 0.947 		 0 	 5000  
n8290 	 0.871 		 70 	 5000  
n8291 	 0.895 		 50 	 5000  
n8292 	 0.467 		 243 	 5000  
n8293 	 0.495 		 0 	 5000  
n8294 	 0.446 		 0 	 5000  
n8295 	 0.472 		 0 	 5000  
n8296 	 0.012 		 12 	 5000  
n8297 	 0.05 		 48 	 5000  
n8298 	 0.549 		 186 	 5000  
n8299 	 0.923 		 24 	 5000  
n8300 	 0.018 		 18 	 5000  
n8301 	 0.839 		 102 	 5000  
n8302 	 0.01 		 8 	 5000  
n8303 	 0.01 		 10 	 5000  
n8304 	 0.755 		 144 	 5000  
n8305 	 0.911 		 36 	 5000  
n8306 	 0.943 		 4 	 5000  
n8307 	 0.939 		 8 	 5000  
n8308 	 0.02 		 20 	 5000  
n8309 	 0.004 		 4 	 5000  
n8310 	 0.004 		 4 	 5000  
n8311 	 0.002 		 2 	 5000  
n8312 	 0.941 		 6 	 5000  
n8313 	 0.939 		 8 	 5000  
n8314 	 0.002 		 2 	 5000  
n8315 	 0.006 		 6 	 5000  
n8316 	 0.0 		 0 	 5000  
n8317 	 0.943 		 4 	 5000  
n8318 	 0.004 		 4 	 5000  
n8319 	 0.0 		 0 	 5000  
n8320 	 0.927 		 20 	 5000  
n8321 	 0.024 		 24 	 5000  
n8322 	 0.028 		 28 	 5000  
n8323 	 0.941 		 6 	 5000  
n8324 	 0.941 		 6 	 5000  
n8325 	 0.947 		 0 	 5000  
n8326 	 0.945 		 2 	 5000  
n8327 	 0.004 		 4 	 5000  
n8328 	 0.0 		 0 	 5000  
n8329 	 0.947 		 0 	 5000  
n8330 	 0.004 		 4 	 5000  
n8331 	 0.002 		 2 	 5000  
n8332 	 0.933 		 14 	 5000  
n8333 	 0.008 		 8 	 5000  
n8334 	 0.002 		 2 	 5000  
n8335 	 0.941 		 6 	 5000  
n8336 	 0.939 		 8 	 5000  
n8337 	 0.008 		 8 	 5000  
n8338 	 0.016 		 16 	 5000  
n8339 	 0.937 		 10 	 5000  
n8340 	 0.941 		 6 	 5000  
n8341 	 0.947 		 0 	 5000  
n8342 	 0.002 		 2 	 5000  
n8343 	 0.004 		 4 	 5000  
n8344 	 0.004 		 4 	 5000  
n8345 	 0.006 		 6 	 5000  
n8346 	 0.006 		 6 	 5000  
n8347 	 0.002 		 2 	 5000  
n8348 	 0.008 		 8 	 5000  
n8349 	 0.923 		 24 	 5000  
n8350 	 0.929 		 18 	 5000  
n8351 	 0.01 		 10 	 5000  
n8352 	 0.016 		 16 	 5000  
n8353 	 0.006 		 6 	 5000  
n8354 	 0.941 		 6 	 5000  
n8355 	 0.943 		 4 	 5000  
n8356 	 0.002 		 2 	 5000  
n8357 	 0.941 		 6 	 5000  
n8358 	 0.01 		 10 	 5000  
n8359 	 0.002 		 2 	 5000  
n8360 	 0.006 		 6 	 5000  
n8361 	 0.008 		 8 	 5000  
n8362 	 0.006 		 6 	 5000  
n8363 	 0.008 		 8 	 5000  
n8364 	 0.006 		 6 	 5000  
n8365 	 0.876 		 67 	 5000  
n8366 	 0.903 		 44 	 5000  
n8367 	 0.014 		 14 	 5000  
n8368 	 0.016 		 16 	 5000  
n8369 	 0.933 		 14 	 5000  
n8370 	 0.941 		 6 	 5000  
n8371 	 0.002 		 2 	 5000  
n8372 	 0.002 		 2 	 5000  
n8373 	 0.002 		 2 	 5000  
n8374 	 0.004 		 4 	 5000  
n8375 	 0.004 		 4 	 5000  
n8376 	 0.947 		 0 	 5000  
n8377 	 0.937 		 10 	 5000  
n8378 	 0.941 		 6 	 5000  
n8379 	 0.925 		 22 	 5000  
n8380 	 0.935 		 12 	 5000  
n8381 	 0.002 		 2 	 5000  
n8382 	 0.012 		 12 	 5000  
n8383 	 0.004 		 4 	 5000  
n8384 	 0.004 		 4 	 5000  
n8385 	 0.945 		 2 	 5000  
n8386 	 0.945 		 2 	 5000  
n8387 	 0.887 		 54 	 5000  
n8388 	 0.943 		 4 	 5000  
n8389 	 0.006 		 6 	 5000  
n8390 	 0.002 		 2 	 5000  
n8391 	 0.941 		 6 	 5000  
n8392 	 0.945 		 2 	 5000  
n8393 	 0.004 		 4 	 5000  
n8394 	 0.04 		 38 	 5000  
n8395 	 0.923 		 22 	 5000  
