Path specified: /test/u0/
Net 		Stat_Prob	TC	TotSimPeriod
n33 	 0.062 		 58 	 5000  
n34 	 0.858 		 78 	 5000  
n35 	 0.046 		 43 	 5000  
n36 	 0.08 		 72 	 5000  
n37 	 0.08 		 76 	 5000  
n38 	 0.799 		 130 	 5000  
n39 	 0.056 		 52 	 5000  
n40 	 0.043 		 37 	 5000  
n41 	 0.044 		 44 	 5000  
n42 	 0.052 		 50 	 5000  
n43 	 0.056 		 54 	 5000  
n44 	 0.04 		 38 	 5000  
n45 	 0.056 		 52 	 5000  
n46 	 0.078 		 74 	 5000  
n47 	 0.072 		 62 	 5000  
n48 	 0.052 		 48 	 5000  
n49 	 0.068 		 64 	 5000  
n50 	 0.473 		 222 	 5000  
n51 	 0.493 		 239 	 5000  
n52 	 0.485 		 225 	 5000  
n53 	 0.49 		 253 	 5000  
n54 	 0.002 		 2 	 5000  
n55 	 0.066 		 62 	 5000  
n56 	 0.064 		 57 	 5000  
n57 	 0.068 		 66 	 5000  
n58 	 0.066 		 64 	 5000  
n59 	 0.056 		 54 	 5000  
n60 	 0.815 		 110 	 5000  
n61 	 0.07 		 66 	 5000  
n62 	 0.054 		 48 	 5000  
n63 	 0.063 		 59 	 5000  
n64 	 0.05 		 50 	 5000  
n65 	 0.052 		 50 	 5000  
n66 	 0.046 		 42 	 5000  
n67 	 0.076 		 66 	 5000  
n68 	 0.48 		 209 	 5000  
n69 	 0.066 		 62 	 5000  
n70 	 0.038 		 36 	 5000  
n71 	 0.06 		 58 	 5000  
n72 	 0.052 		 48 	 5000  
n73 	 0.44 		 230 	 5000  
n74 	 0.453 		 255 	 5000  
n75 	 0.475 		 245 	 5000  
n76 	 0.04 		 40 	 5000  
n77 	 0.046 		 46 	 5000  
n78 	 0.058 		 54 	 5000  
n79 	 0.066 		 64 	 5000  
n80 	 0.064 		 59 	 5000  
n81 	 0.066 		 62 	 5000  
n82 	 0.07 		 64 	 5000  
n83 	 0.05 		 44 	 5000  
n84 	 0.064 		 56 	 5000  
n85 	 0.046 		 46 	 5000  
n86 	 0.069 		 65 	 5000  
n87 	 0.05 		 48 	 5000  
n88 	 0.074 		 70 	 5000  
n89 	 0.076 		 68 	 5000  
n90 	 0.062 		 58 	 5000  
